"82","Josh McCown","QB","FA","2.3","-","19.6","22.2","35.5","11.7","8.9","18.2","-","-","-","13.7","-","-","-","-","-","16.5","132.2"
"83","Los Angeles Rams","DST","LAR","8","4","11","10","9","-","25","12","3","2","6","2","2","13","4","17","4","8.3","132"
"84","Alshon Jeffery","WR","FA","10.3","-","-","-","-","24.7","-","22.6","20.1","3.8","-","12.5","10.5","19.7","7.5","-","-","14.6","131.7"
"85","Richard Rodgers","TE","FA","5.3","11.8","2.5","13","7.5","4.4","-","2.6","16.4","11.7","2.2","5","24.6","6.8","1.2","0.7","15.4","8.2","131.1"
"86","Mike Nugent","K","FA","9","6","4","4","10","11","-","13","7","7","8","7","15","9","6","7","8","8.2","131"
"86","Dan Bailey","K","FA","9","8","4","8","8","-","9","14","11","9","6","7","15","1","12","7","3","8.2","131"
"88","Blaine Gabbert","QB","FA","-","-","-","-","-","-","-","-","14.6","-","16.8","15.8","25.3","13.7","10.8","15.9","16.9","16.2","129.7"
"89","Keenan Allen","WR","LAC","24.1","0.6","31.3","15.2","8.7","22.7","13.4","12","-","-","-","-","-","-","-","-","-","16","128"
"90","Tyler Lockett","WR","TEN","5.4","2.7","0","5.9","3.9","0","16.4","5.1","-","1.2","19.3","5.3","13.2","25.4","14","4.8","5.3","8","127.9"
"91","Chris Boswell","K","PIT","-","-","-","-","7","17","7","4","12","10","BYE","11","16","18","11","5","8","10.5","126"
"92","Jason Witten","TE","FA","22","9.1","9.5","7.7","3.8","-","10.3","2.6","7.3","6.7","3.7","5.6","7.1","6.5","7.4","1.7","14.8","7.9","125.8"
"93","Dustin Hopkins","K","CLE","-","7","8","11","9","10","7","-","4","18","2","9","12","7","5","6","10","8.3","125"
"93","Josh Lambo","K","FA","9","8","2","14","11","8","9","10","7","-","5","7","5","3","6","10","11","7.8","125"
"95","Mason Crosby","K","FA","7","16","9","5","6","9","-","6","3","5","22","9","3","4","12","0","8","7.8","124"
"96","Stefon Diggs","WR","NE","-","-","-","11.7","-","16.4","20.7","18.5","5.7","6.6","9.6","5.1","2.6","2.2","19","3.9","1.3","9.5","123.3"
"97","Adam Vinatieri","K","FA","0","1","5","12","11","3","3","17","12","-","7","15","4","10","4","4","15","7.7","123"
"98","Jason Myers","K","SEA","3","13","6","7","7","2","4","-","12","13","13","15","3","10","6","1","7","7.6","122"
"98","Minnesota Vikings","DST","MIN","5","8","15","6","BYE","8","8","2","2","7","1","12","0","2","10","17","19","7.6","122"
"100","Indianapolis Colts","DST","IND","0","4","12","5","6","9","4","7","5","BYE","15","11","0","9","8","14","12","7.6","121"
"101","Green Bay Packers","DST","GB","4","7","8","15","22","6","BYE","1","-2","3","12","2","5","8","14","6","8","7.4","119"
"101","Philadelphia Eagles","DST","PHI","5","8","10","3","14","19","7","BYE","12","7","-1","-2","20","6","1","1","9","7.4","119"
"103","Matt Prater","K","FA","4","4","0","5","6","13","7","4","-","9","13","10","14","2","5","14","8","7.4","118"
"104","New York Jets","DST","NYJ","17","14","3","8","BYE","6","2","-1","14","5","3","8","6","11","11","5","4","7.3","116"
"105","Danny Amendola","WR","FA","3.4","3.7","12.4","-","1.6","14","18.6","1.6","5.2","12.9","16.2","-","17.1","7.6","-1.2","-","2.7","8.3","115.8"
"106","Washington Commanders","DST","WAS","6","5","-1","10","10","12","3","BYE","4","13","0","10","8","5","5","15","10","7.2","115"
"107","Eric Ebron","TE","FA","13.3","12.8","8.1","3.2","-","-","17.4","3.9","-","4.8","0","3.8","7.9","4.2","9.9","6.9","11","7.7","107.2"
"108","Las Vegas Raiders","DST","LV","0","3","10","10","10","-","4","6","1","4","5","7","7","15","7","6","11","6.6","106"
"109","Cole Beasley","WR","FA","4.9","3.4","6.9","9.2","6","-","-2","0","27.7","1.3","1.9","13.4","0","4","5.2","3.9","19.8","6.6","105.6"
"110","Ameer Abdullah","RB","SF","17.4","2.3","11.2","5.4","1","8.4","4.3","0.3","-","2.7","5.1","8","6.7","5.4","13.9","6.8","5.6","6.5","104.5"
"111","Jamison Crowder","WR","FA","0.7","1.2","9.5","10","12.7","6","7.3","-","8","14","1","2.2","4.4","1.8","1.6","4.3","19.4","6.5","104.1"
"112","Kyle Rudolph","TE","FA","7.8","11.5","2.4","1.7","-","7.9","8","3.2","4","1.2","19.6","8.8","2.8","9.7","3.1","12.3","0","6.5","104"
"112","Tampa Bay Buccaneers","DST","TB","0","12","4","3","15","BYE","8","10","4","12","18","3","6","2","1","2","4","6.5","104"
"114","James White","RB","FA","0","-","5.4","-","0","0","4.5","0.3","-","1.6","17.6","1.6","22.9","12","17.2","11.7","7.8","7.3","102.6"
"115","Dion Lewis","RB","FA","14","20.8","15.2","-","19.3","5.4","-","20.2","7.3","-","-","-","-","-","-","-","-","14.6","102.2"
"116","New York Giants","DST","NYG","12","2","8","10","2","9","16","6","13","7","BYE","2","5","3","2","-1","4","6.3","100"
